priority,shop_id,name,primary_type,assigned_type_id,assigned_category,tags,comments,score,flags,suggestion,evidence
75,10291,士林放感情餐酒館 士林區餐廳 台北餐酒館 酒吧 活動派對 生日包場 企業包場,db_current,2008,中式料理,餐酒館、約會,2515,4.8,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 居酒屋 (2003)；命中：酒吧,居酒屋:酒吧
75,10147,泰和樓,db_current,2008,中式料理,親子,2332,4.3,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 火鍋 (2001)；命中：酸菜白肉鍋、酸菜白肉,火鍋:酸菜白肉鍋、酸菜白肉; 咖啡/甜點:甜點
75,10457,頁小館,db_current,2008,中式料理,約會,2288,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：燉飯,義法料理:燉飯
75,10377,築本屋公館店,db_current,2008,中式料理,,2228,4.7,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉,日式燒肉:烤肉
75,10461,泰市場 大直英迪格店,db_current,2008,中式料理,約會,2045,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：披薩,義法料理:披薩; 咖啡/甜點:甜點
75,10597,漢來上海湯包 台北LaLaport南港店,db_current,2008,中式料理,親子,1992,4.9,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
75,10299,Moni咖哩,db_current,2008,中式料理,約會,1946,4.8,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡
75,10751,KOBE SWEETS CAFE 神戶果実 微風南山,db_current,2008,中式料理,商務,1836,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：cafe、下午茶、甜點、蛋糕,咖啡/甜點:cafe、下午茶、甜點、蛋糕
75,10752,蘭亭燒肉,db_current,2008,中式料理,約會、親子,1810,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
75,10759,茶茶王國[士林店]-Matcha Prince茶茶王国のおうじちゃま,db_current,2008,中式料理,,1467,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：蛋糕,咖啡/甜點:蛋糕
75,10480,波 WAVE 鷹嘴豆泥屋 Hummus House,db_current,2008,中式料理,約會,1221,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌
75,10490,亞瑟蘭印度餐廳(士林店)Asrah Indian Cuisines 清真認證Halal,db_current,2008,中式料理,親子,1023,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
75,10654,夏綠沁私房義大利麵燉飯,db_current,2008,中式料理,義式,891,4.8,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利、燉飯,義法料理:義大利麵、義大利、燉飯
75,10329,東京廚房,db_current,2008,中式料理,親子,791,4.8,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡
75,10717,詹咖李,db_current,2008,中式料理,義式,514,4.7,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：義式,義法料理:義式
75,10503,Tierra Casa Restaurant-台北內湖西餐廳 在地食材創意料理 價格訂位推薦 義式法式料理 2026人氣必吃美食 精品茶葉咖啡 聚餐親子餐廳 PTT Dcard,db_current,2008,中式料理,法式、義式、親子,449,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利、法式、燉飯、義式,義法料理:義大利麵、義大利、法式、燉飯、義式; 咖啡/甜點:咖啡
57,10347,TankQ cafe&Bar忠孝敦化店,db_current,2010,美式料理,韓式、義式、親子,6548,4.7,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利,義法料理:義大利麵、義大利; 咖啡/甜點:cafe; 韓式 tag
57,10671,燒肉中山｜台北信義,db_current,2002,日式燒肉,韓式、約會,5128,4.7,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 日式料理 (2004)；命中：壽司,日式料理:壽司; 韓式 tag
57,10622,樂軒松阪亭,db_current,2002,日式燒肉,牛排、韓式、約會、商務,4003,4.8,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 火鍋 (2001)；命中：壽喜燒,火鍋:壽喜燒; 美式料理:牛排; 韓式 tag
57,10158,大樹先生的家,db_current,2010,美式料理,親子,3700,4.2,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 日式料理 (2004)；命中：烏龍麵,日式料理:烏龍麵; 義法料理:義大利麵、義大利、燉飯; 韓式 tag
57,10588,發肉燒肉餐酒忠孝二店,db_current,2002,日式燒肉,韓式、約會,3693,4.9,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 日式料理 (2004)；命中：烏龍麵,日式料理:烏龍麵; 韓式 tag
57,10190,弘大一號出口,db_current,2002,日式燒肉,韓式,3411,4.6,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 火鍋 (2001)；命中：鍋物,火鍋:鍋物; 韓式 tag
57,10625,大河牧場 漢堡排專売-南港環球店,db_current,2010,美式料理,韓式,3280,4.8,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉; 咖啡/甜點:甜點; 韓式 tag
57,10646,ONE GOOD烤肉飯(大安店）,db_current,2004,日式料理,韓式,1310,4.8,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉,日式燒肉:烤肉; 韓式 tag
57,10485,蘋果肉桂 Café & Bistro,db_current,2012,咖啡/甜點,早午餐、韓式、義式、餐酒館、約會,1124,4.6,keyword_conflict;korean_tag_review;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利,義法料理:義大利麵、義大利; 美式料理:早午餐; 韓式 tag
52,10353,金書西餐飲 韓國豬肉湯飯 돼지국밥,db_current,2008,中式料理,韓式,4348,4.7,defaulted_to_chinese;korean_tag_review;high_impact,人工確認主分類,韓式 tag
52,10435,四米大石鍋拌飯專賣,db_current,2008,中式料理,韓式,4284,4.6,defaulted_to_chinese;korean_tag_review;high_impact,人工確認主分類,韓式 tag
52,10438,東大門韓國特色料理,db_current,2008,中式料理,韓式,3679,4.6,defaulted_to_chinese;korean_tag_review;high_impact,人工確認主分類,韓式 tag
52,10501,恰恰韓式豬腳,db_current,2008,中式料理,韓式,542,4.6,defaulted_to_chinese;korean_tag_review;high_impact,人工確認主分類,韓式 tag
45,10245,和牛涮台北忠孝東店,db_current,2001,火鍋,,31348,4.8,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：壽司,日式料理:壽司
45,10615,狗一下居食酒堂-忠孝店,db_current,2003,居酒屋,吃到飽,28614,4.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌; 日式料理:生魚片、壽司
45,10508,豐 FOOD 海陸百匯,db_current,2011,自助餐,吃到飽、親子,25873,4.5,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：啤酒、暢飲,居酒屋:啤酒、暢飲; 日式料理:生魚片; 義法料理:披薩
45,10247,尬鍋 台式潮鍋 台北西門店,db_current,2001,火鍋,,25518,4.8,keyword_conflict;high_impact,檢查是否應改為 中式料理 (2008)；命中：台式,中式料理:台式
45,10152,和牛涮 台北羅斯福店,db_current,2001,火鍋,吃到飽、親子,20598,4.9,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：壽司,日式料理:壽司; 自助餐:自助餐; 咖啡/甜點:甜點
45,10616,金洹苑 KIN KAN EN-日式燒肉火鍋吃到飽 台北日本和牛海鮮吃到飽人氣推薦,db_current,2002,日式燒肉,牛排、吃到飽、約會,18745,4.8,keyword_conflict;high_impact,檢查是否應改為 火鍋 (2001)；命中：鍋底、火鍋,火鍋:鍋底、火鍋; 美式料理:牛排
45,10206,林美如 海鮮 熱炒 燒烤 酒場,db_current,2008,中式料理,親子,15909,4.9,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：酒場,居酒屋:酒場
45,10252,山上走走 日式燒肉台北華山店,db_current,2004,日式料理,約會,14345,4.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉; 美式料理:漢堡
45,10176,島語 台北漢來店,db_current,2011,自助餐,牛排、吃到飽、約會、商務,14085,4.8,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：壽司,日式料理:壽司; 美式料理:牛排; 咖啡/甜點:甜點
45,10159,西堤牛排台北羅斯福店,db_current,2007,義法料理,牛排,13986,4.8,keyword_conflict;high_impact,檢查是否應改為 素食 (2005)；命中：素食,素食:素食; 美式料理:牛排; 咖啡/甜點:甜點
45,10509,solo pasta,db_current,2007,義法料理,義式、約會,13000,4.5,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
45,10419,麵屋 千雲 林森店,db_current,2004,日式料理,,12661,4.6,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
45,10578,大阪燒肉 燒魂Yakikon林森本店,db_current,2002,日式燒肉,,12555,4.9,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：酒場,居酒屋:酒場
45,10341,艾朋牛排餐酒館,db_current,2007,義法料理,牛排、義式、餐酒館、約會,12380,4.7,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排
45,10107,老井極上燒肉 台北信義店,db_current,2002,日式燒肉,約會,11533,4.9,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：壽司,日式料理:壽司
45,10510,Meat Up 覓晌 台北西門店,db_current,2010,美式料理,約會,10660,4.5,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點、蛋糕,咖啡/甜點:甜點、蛋糕
45,10668,藝奇,db_current,2004,日式料理,牛排、約會,10015,4.7,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排
45,10420,新馬辣經典麻辣鍋-公館店,db_current,2001,火鍋,親子,9732,4.6,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：啤酒、暢飲,居酒屋:啤酒、暢飲
45,10254,大村武串燒居酒屋-西門店（本店）,db_current,2003,居酒屋,約會,9155,4.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
45,10617,歐買尬日式海鮮串燒 市民一店,db_current,2010,美式料理,吃到飽、約會、親子,8994,4.8,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：居酒屋、串燒,居酒屋:居酒屋、串燒; 日式料理:生魚片
45,10669,熊一頂級燒肉-西門二店,db_current,2004,日式料理,約會,8963,4.7,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉、燒肉,日式燒肉:烤肉、燒肉; 居酒屋:啤酒
45,10125,夏慕尼新香榭鐵板燒 台北中山北店,db_current,2007,義法料理,鐵板燒,8537,4.5,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排; 咖啡/甜點:甜點
45,10103,旭集 和食集錦 信義店,db_current,2011,自助餐,商務、親子,8211,4.1,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：生魚片、天婦羅,日式料理:生魚片、天婦羅
45,10180,小倉庫食研所,db_current,2010,美式料理,Brunch,7938,4.7,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利,義法料理:義大利麵、義大利
45,10423,GYUU NIKU ステーキ專門店,db_current,2004,日式料理,牛排,7637,4.6,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌; 美式料理:牛排
45,10100,一蘭 台灣台北別館,db_current,2004,日式料理,,7605,4.2,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
45,10106,饗食天堂 台北信義店,db_current,2011,自助餐,親子,7198,4.2,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：生魚片,日式料理:生魚片; 中式料理:港點、熱炒
45,10730,燒肉神保町信義館,db_current,2010,美式料理,牛排,6773,4.6,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
45,10149,夏慕尼新香榭鐵板燒 台北南昌店,db_current,2007,義法料理,鐵板燒,6741,4.5,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點、蛋糕,咖啡/甜點:甜點、蛋糕
45,10214,赤富士日式燒肉鍋物-西門店-萬華/西門町人氣燒肉|熱門燒肉|必吃燒肉|推薦燒肉|聚餐推薦|燒肉餐廳|燒肉吃到飽|在地推薦餐廳,db_current,2002,日式燒肉,吃到飽、親子,6552,4.9,keyword_conflict;high_impact,檢查是否應改為 火鍋 (2001)；命中：火鍋、鍋物,火鍋:火鍋、鍋物
45,10618,TakeOut Burger&Cafe 忠孝新生店（last order 21:40),db_current,2010,美式料理,,6458,4.8,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：cafe,咖啡/甜點:cafe
45,10426,老倉庫,db_current,2010,美式料理,義式,6438,4.6,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：暢飲,居酒屋:暢飲; 義法料理:義大利麵、義大利
45,10348,錢都日式涮涮鍋 台北延平店,db_current,2001,火鍋,親子,6373,4.7,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌; 素食:蔬食
45,10264,大村武串燒居酒屋-士林店,db_current,2003,居酒屋,約會,6167,4.8,keyword_conflict;high_impact,檢查是否應改為 火鍋 (2001)；命中：壽喜燒,火鍋:壽喜燒
45,10428,好食多涮涮鍋 雙城店,db_current,2004,日式料理,,5984,4.6,keyword_conflict;high_impact,檢查是否應改為 火鍋 (2001)；命中：涮涮鍋、鍋底、涮涮,火鍋:涮涮鍋、鍋底、涮涮
45,10115,辛殿麻辣鍋｜信義店,db_current,2001,火鍋,吃到飽,5931,4.2,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：西班牙,義法料理:西班牙; 咖啡/甜點:甜點
45,10429,陶板屋 台北復興北店,db_current,2004,日式料理,牛排、約會、親子,5916,4.6,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：串燒,居酒屋:串燒; 美式料理:牛排、漢堡
45,10112,HOOTERS美式餐廳 信義店,db_current,2010,美式料理,義式、景觀,5878,4.7,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：酒吧、暢飲,居酒屋:酒吧、暢飲; 義法料理:義大利麵、義大利
45,10732,狗一下居食酒屋-西門店,db_current,2003,居酒屋,,5825,4.6,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：生魚片、壽司,日式料理:生魚片、壽司
45,10733,WOW Bistro旺.慢食餐酒館 -中山店,db_current,2007,義法料理,牛排、義式、餐酒館、約會,5604,4.6,keyword_conflict;high_impact,檢查是否應改為 中式料理 (2008)；命中：麵食,中式料理:麵食; 美式料理:牛排; 咖啡/甜點:甜點
45,10127,下港吔羊肉專賣店,db_current,2001,火鍋,,5596,4.3,keyword_conflict;high_impact,檢查是否應改為 中式料理 (2008)；命中：熱炒,中式料理:熱炒
45,10583,初樂燒肉,db_current,2002,日式燒肉,約會、親子,5587,4.9,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡
45,10584,洋城義大利餐廳-東森廣場北車店,db_current,2007,義法料理,義式,5494,4.9,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
45,10174,悠悠龍貓咖啡,db_current,2012,咖啡/甜點,義式、約會、親子,5466,4.9,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利,義法料理:義大利麵、義大利
45,10619,火燒鳥日式居酒屋,db_current,2003,居酒屋,約會,5202,4.8,keyword_conflict;high_impact,檢查是否應改為 日式料理 (2004)；命中：烏龍麵,日式料理:烏龍麵
45,10585,發肉燒肉餐酒敦北一店,db_current,2002,日式燒肉,約會,5195,4.9,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
45,10670,大河屋 燒肉丼 串燒-微風北車店,db_current,2003,居酒屋,親子,5153,4.7,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉
45,10128,唐宮蒙古烤肉酸菜白肉餐廳,db_current,2001,火鍋,親子,5133,3.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉,日式燒肉:烤肉; 中式料理:熱炒
45,10620,胖肚肚燒肉 大安店,db_current,2010,美式料理,,5082,4.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉、牛舌、燒肉,日式燒肉:烤肉、牛舌、燒肉
45,10162,小紅莓石頭火鍋城,db_current,2001,火鍋,親子,5063,4.2,keyword_conflict;high_impact,檢查是否應改為 中式料理 (2008)；命中：台式,中式料理:台式
45,10220,蔦燒日式居酒屋-石牌店,db_current,2003,居酒屋,,4981,4.9,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌
45,10187,布納咖啡館 內湖館,db_current,2012,咖啡/甜點,義式、親子,4843,4.6,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利,義法料理:義大利麵、義大利
45,10517,陶板屋 新北投光明店,db_current,2004,日式料理,牛排、親子,4801,4.5,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排
45,10110,Woolloomooloo,db_current,2007,義法料理,景觀,4729,4.0,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡; 咖啡/甜點:甜點
45,10136,Second Floor 貳樓敦南店,db_current,2010,美式料理,Brunch,4647,4.3,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：法式,義法料理:法式; 咖啡/甜點:咖啡
45,10129,紅翻天生猛海鮮,db_current,2008,中式料理,,4530,4.1,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：下酒,居酒屋:下酒; 日式料理:生魚片
45,10351,NAGOYA 道地日式蛋包飯（開放電話及私訊訂位）,db_current,2004,日式料理,,4468,4.7,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡
45,10737,WOWFFIZI cafe&Bistro 烏菲茲餐酒館,db_current,2007,義法料理,餐酒館、約會,4450,4.6,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：cafe、甜點、蛋糕,咖啡/甜點:cafe、甜點、蛋糕
45,10168,石二鍋 台北捷運後山埤店,db_current,2001,火鍋,,4409,4.0,keyword_conflict;high_impact,檢查是否應改為 素食 (2005)；命中：蔬食,素食:蔬食
45,10519,神燈搓一下,db_current,2005,素食,,4355,4.5,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
45,10738,瀧厚炙燒熟成牛排 台北.南港店,db_current,2010,美式料理,牛排、法式、親子,4304,4.6,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：法式,義法料理:法式
45,10621,忠孝｜燒肉政宗 YAKINIKU MASAMUNE,db_current,2002,日式燒肉,,4297,4.8,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：漢堡,美式料理:漢堡
45,10188,築間幸福鍋物 台北內湖店,db_current,2001,火鍋,親子,4236,4.6,keyword_conflict;high_impact,檢查是否應改為 素食 (2005)；命中：蔬食,素食:蔬食; 義法料理:西班牙
45,10140,樂子the Diner 瑞安店,db_current,2010,美式料理,Brunch,4221,4.3,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：燉飯,義法料理:燉飯; 咖啡/甜點:咖啡
45,10151,深夜裡的法國手工甜點,db_current,2012,咖啡/甜點,法式,4207,4.5,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：法式,義法料理:法式
45,10355,GumGum Beer & Wings,db_current,2007,義法料理,約會、親子,4085,4.7,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：蛋糕,咖啡/甜點:蛋糕
45,10521,錢都日式涮涮鍋 台北師大店,db_current,2001,火鍋,,3948,4.5,keyword_conflict;high_impact,檢查是否應改為 素食 (2005)；命中：蔬食,素食:蔬食; 咖啡/甜點:甜點
45,10108,布納咖啡館 信義館,db_current,2012,咖啡/甜點,牛排、義式、約會、親子,3734,4.6,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：啤酒、精釀,居酒屋:啤酒、精釀; 義法料理:義大利麵、義大利、燉飯; 美式料理:牛排
45,10358,蝸牛義大利餐廳 天母店,db_current,2007,義法料理,義式、親子,3720,4.7,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：蛋糕,咖啡/甜點:蛋糕
45,10226,酒米食堂chumi_canteen－北投店beitou,db_current,2004,日式料理,,3702,4.9,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：居酒屋、啤酒,居酒屋:居酒屋、啤酒
45,10674,樂軒和牛專門店,db_current,2002,日式燒肉,約會、商務,3596,4.7,keyword_conflict;high_impact,檢查是否應改為 火鍋 (2001)；命中：涮涮鍋、壽喜燒、涮涮,火鍋:涮涮鍋、壽喜燒、涮涮
45,10739,小紐約披薩 中山店 LNYPIZZA Little New York Pizzeria Zhongshan,db_current,2007,義法料理,,3575,4.6,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：酒吧,居酒屋:酒吧; 美式料理:美式
45,10156,一番地壽喜燒 古亭店,db_current,2001,火鍋,吃到飽,3570,4.3,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
45,10361,詩篇咖啡餐廳Psalms Cafe & Restaurant,db_current,2007,義法料理,義式,3425,4.7,keyword_conflict;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：cafe、下午茶、咖啡,咖啡/甜點:cafe、下午茶、咖啡
45,10676,林居sushi日本料理,db_current,2004,日式料理,,3356,4.7,keyword_conflict;high_impact,檢查是否應改為 中式料理 (2008)；命中：台式,中式料理:台式
45,10442,At.First早寓,db_current,2007,義法料理,早午餐、牛排、義式,3271,4.6,keyword_conflict;high_impact,檢查是否應改為 美式料理 (2010)；命中：早午餐、牛排,美式料理:早午餐、牛排
45,10278,蔦燒日式居酒屋-北投店,db_current,2003,居酒屋,約會,3266,4.8,keyword_conflict;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：牛舌,日式燒肉:牛舌; 日式料理:烏龍麵
45,10523,Remember Me_記得我．café -深夜咖啡館 寵物友善,db_current,2012,咖啡/甜點,約會、親子,3256,4.5,keyword_conflict;high_impact,檢查是否應改為 義法料理 (2007)；命中：燉飯,義法料理:燉飯
45,10363,老朋友小酌熱炒,db_current,2008,中式料理,,3250,4.7,keyword_conflict;high_impact,檢查是否應改為 居酒屋 (2003)；命中：啤酒,居酒屋:啤酒; 義法料理:西班牙
